Size;Heap_Add;LL_Add;Treap_Add;Heap_Remove;LL_Remove;Treap_Remove;Heap_Size;LL_Size;Treap_Size;Heap_Peek;LL_Peek;Treap_Peek;Heap_Modify;LL_Modify;Treap_Modify
1000;14;4680;364;32;112;272;2;8;4;2;12;70;430;2478;2548
2000;6;9390;426;52;280;568;2;20;6;6;38;94;286;11138;5018
5000;10;25008;676;204;394;524;2;28;4;12;52;84;1014;32828;14564
10000;22;48892;684;288;466;1446;4;38;8;12;70;152;2144;59076;32844
20000;24;100220;1140;450;528;1262;4;58;4;24;68;248;4686;122024;78388
50000;24;264512;1790;526;482;748;4;68;2;16;68;326;14022;321048;242638
