Size;Heap_Add;LL_Add;Treap_Add;Heap_Remove;LL_Remove;Treap_Remove;Heap_Size;LL_Size;Treap_Size;Heap_Peek;LL_Peek;Treap_Peek;Heap_Modify;LL_Modify;Treap_Modify
1000;14;44;272;102;142;412;2;14;2;10;12;158;60;3934;2538
2000;18;54;718;50;292;890;2;10;14;12;76;394;202;10314;5630
5000;88;106;674;468;354;910;4;26;8;18;34;168;516;25288;14828
10000;70;110;1232;380;374;966;4;24;4;18;34;238;848;53682;30416
20000;122;126;898;598;866;1108;6;36;6;28;40;186;2604;113972;75818
50000;270;136;1026;618;292;748;4;24;6;24;64;108;21248;452828;245754
